question_id,question_title,question_desc,sample_solution,question_type
19_20-1-1-java,LCM -- Least Common Multiple (Java),"Similar to the already known ""Greatest Common Divisor"" (GCD),
the Least Common Multiple (LCM) is also used in elementary mathematical
applications, for example in the multiplication of heterogeneous fractions. This
has applications ranging from the adaptation of cooking recipes to other
portion quantities to the calculation of planetary orbits.

The LCM is defined as follows:
$lcm(n_1, n_2)=\frac{n_1 \cdot n_2}{gcd(n_1,n_2)}$.

Implement a function that calculates the LCM of two given values.
It may be based on the GCD implementation from the lecture.

Note: The use of ""import"" is not allowed.","int gcd(int a, int b) {
    if (a < b) {
        int tmp = a;
        a = b;
        b = tmp;
    }
        int r = a % b;
    if (r == 0) {
        return b;
    }
    else {
        return gcd(r, b);
    }
}

int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}",implementation
19_20-1-1-python,LCM -- Least Common Multiple (Python),"Similar to the already known ""Greatest Common Divisor"" (GCD),
the Least Common Multiple (LCM) is also used in elementary mathematical
applications, for example in the multiplication of heterogeneous fractions. This
has applications ranging from the adaptation of cooking recipes to other
portion quantities to the calculation of planetary orbits.

The LCM is defined as follows:
$lcm(n_1, n_2)=\frac{n_1 \cdot n_2}{gcd(n_1,n_2)}$.

Implement a function that calculates the LCM of two given values.
It may be based on the GCD implementation from the lecture.

Note: The use of ""import"" is not allowed.","def GCD(a, b):
    if a < b:
        a, b = b, a
    r = a % b
    if r is 0:
        return b
    else:
        return GCD(r, b)
        
def LCM(a, b):
    return a * b / GCD(a, b)",implementation
19_20-2-1-java,Queue (Java),"Implement a class ""Queue"" that works like a queue (as described in the
the lecture). The class should have at least the
methods emptyqueue(), head(), enqueue(x) and dequeue(). The
queue does not need to hold more than 100 elements.

Note 1: In the Java test, the stack is expected to store ""strings"".
Since Python is dynamically typed, this does not apply.

Note 2: It is not allowed to use ""import""!","public class Queue {
    private int start = 0;
    private int end = 0;
    private String[] buffer = new String[100];
    
    public boolean emptyqueue() {
        return start == end;
    }
    
    public String head() {
        return buffer[start];
    }
    
    public void enqueue(String s) {
        buffer[end] = s;
        end++;
        if(end == 100) {
            end = 0;
        }
    }
    
    public String dequeue() {
        String s = buffer[start];
        start++;
        if(start == 100) {
            start = 0;
        }
        return s;
    }
}",implementation
19_20-2-2-java,Stack (Java),"The Reverse Polish Notation / Postfix Notation is a special notation for
for mathematical expressions, where the numbers are given first, followed by the
operators. The expression (1 * 2)+(3 * 4) would be 1 2 * 3 4 * + in this notation.

A calculator for this notation can be represented well with the help of a stack.
The notation is processed from left to right.
If a number is processed, it is put on the stack.
If an operator is encountered, then the uppermost two numbers are taken from the stack,
the operator is executed and the result is put back on the stack.
After the calculation, the result is the only number on the stack.

In this task you are asked to implement such a calculator in a method.
It should be able to process the operators plus (+), minus (-), times (*)
and division (/, rounded down). You will receive a stack with the following
known methods, which you have to use in your implementation:

public class IntegerStack {
    public boolean emptystack();
    public int head();
    public void push(int i);
    public int pop();
}

The method receives as input a list of strings in which the
numbers and operators are already separated (e.g..: String[] input =
{""1"", ""2"", ""*"", ""3"", ""4"", ""*"", ""+""};). Strings can be converted with the help of
""Integer.parseInt(myString);"". You will also get a stack, which you should use.
The method should return the correct result as an integer.

You can assume that the input is a correct formula.","// This implementation assumes input is a correct formula
public int Calculator(String[] input, IntegerStack s) {
    for(int i = 0; i < input.length; ++i) {
        switch(input[i]) {
            case ""+"":
                int n1 = s.pop();
                int n2 = s.pop();
                s.push(n2 + n1);
                break;
            case ""-"":
                n1 = s.pop();
                n2 = s.pop();
                s.push(n2 - n1);
                break;
            case ""*"":
                n1 = s.pop();
                n2 = s.pop();
                s.push(n2 * n1);
                break;
            case ""/"":
                n1 = s.pop();
                n2 = s.pop();
                s.push(n2 / n1);
                break;
            default:
                s.push(Integer.parseInt(input[i]));
                break;
        }
    }
    return s.pop();
}",implementation
19_20-2-1-python,Queue (Python),"Implement a class ""Queue"" that works like a queue (as described in the
the lecture). The class should have at least the
methods isEmpty(), head(), enqueue(x) and dequeue(). The
queue does not need to hold more than 100 elements.

Note 1: In the Java test, the stack is expected to store ""strings"".
Since Python is dynamically typed, this does not apply.

Note 2: It is not allowed to use ""import""!","class Queue:
    """"""Klasse, die eine selbstgebaute Queue darstellt.
    """"""
    def __init__(self):
        self.lst = []

    def isEmpty(self) -> bool:
        """"""Prueft, ob die Queue leer ist.
        :return: True, wenn die Queue leer ist;
            False, sonst
        """"""
        return len(self.lst) == 0

    def head(self):
        """"""Gibt den Wert des ersten Elements in der Queue
            zurueck.
        :return: Den Wert des ersten Elementes in der Queue
        """"""
        if not self.isEmpty():
            return self.lst[0]
        else:
            return None

    def enqueue(self, x):
        """"""Haengt ein Element an die Queue an.
        :param x: Anzuhaengendes Element
        """"""
        self.lst.append(x)

    def dequeue(self):
        """"""Entfernt das erste Element aus der Queue
        :return: Erstes Element
        """"""
        if not self.isEmpty():
            returnvalue = self.lst[0]
            for i in range(len(self.lst) - 1):
                self.lst[i] = self.lst[i+1]
            del self.lst[-1]
            return returnvalue
        else:
            raise IndexError",implementation
19_20-2-2-python,Stack (Python),"The Reverse Polish Notation / Postfix Notation is a special notation for
for mathematical expressions, where the numbers are given first, followed by the
operators. The expression (1 * 2)+(3 * 4) would be 1 2 * 3 4 * + in this notation.

A calculator for this notation can be represented well with the help of a stack.
The notation is processed from left to right.
If a number is processed, it is put on the stack.
If an operator is encountered, then the uppermost two numbers are taken from the stack,
the operator is executed and the result is put back on the stack.
After the calculation, the result is the only number on the stack.

In this task you are asked to implement such a calculator in a method.
It should be able to process the operators plus (+), minus (-), times (*)
and division (/, rounded down). You will receive a stack with the following
known methods, which you have to use in your implementation:

* emptystack()
* head()
* push(int i)
* pop()

The method receives as input a list of strings in which the
numbers and operators are already separated (e.g..: input =
[""1"", ""2"", ""*"", ""3"", ""4"", ""*"", ""+""]). Strings can be converted with ""int(myString)"".
You will also get a stack, which you should use.
The method should return the correct result as an integer.

You can assume that the input is a correct formula.","# This implementation assumes input is a correct formula
def Calculator(inputarray, stack):
    for i in inputarray:
        try:
            stack.push({
                ""+"": lambda x, y: y+x,
                ""-"": lambda x, y: y-x,
                ""*"": lambda x, y: y*x,
                ""/"": lambda x, y: y/x,}[i](stack.pop(), stack.pop()))
        except KeyError:
            stack.push(int(i))
    return stack.pop()",implementation
19_20-3-1-java,List Sorting (Java),"Implement any search algorithm from the lecture
that sorts the given list.

The list has the following operations, which get as input indexes of the
list elements:

* Swap(int x, int y) <- Swaps the items at position x and y.

* Larger(int x, int y) <- Returns true if the item at
position x is greater than the item at position y

* Smaller(int x, int y) <- Returns true if the item at
position y is greater than the element at position x

* Equal(int x, int y) <- Returns true if the element at
position y is equal to the element at position x

* Length() <- Returns the length of the list","public ListToSort Sort(ListToSort list) {
    // Implementation of BubbleSort
    for(int i=1; i < list.Length(); i++) {
        for(int j = list.Length()-1; j > i-1; j--) {
            if (list.Smaller(j, j-1)) {
                list.Swap(j, j-1);
            }
        }
    }
    return list;
}",implementation
19_20-3-1-python,List Sorting (Python),"Implement any search algorithm from the lecture
that sorts the given list.

The list has the following operations, which get as input indexes of the
list elements:

* Swap(int x, int y) <- Swaps the items at position x and y.

* Larger(int x, int y) <- Returns true if the item at
position x is greater than the item at position y

* Smaller(int x, int y) <- Returns true if the item at
position y is greater than the element at position x

* Equal(int x, int y) <- Returns true if the element at
position y is equal to the element at position x

* Length() <- Returns the length of the list","def listSorter(listToSort: ListToSort) -> ListToSort:
    """"""
    This is an implimentation of bubble sort
    """"""
    changed = True
    while changed:
        changed = False
        for i in range(1, listToSort.Length()):
            if listToSort.Larger(i-1, i):
                listToSort.Swap(i-1, i)
                changed = True
    return listToSort",implementation
19_20-4-1-java,Search trees: Insertion (Java),"These tasks will be about search trees. Our search trees are built from
""nodes"", analogous to the lecture. A node looks like this:

public class Node {
    public int key;
    public Node left;
    public Node right;
    public Node parent;
}

In the lecture you have already seen an algorithm for searching in a search tree.

You are to implement different methods for the search trees.
For this task, implement a method ""insert"" that inserts a
""Node"" into the search tree and returns the new search tree.
The nodes can be reused as desired. The function
is passed the root of the search tree and the new node.","public Node insert(Node root, Node insert) {
    Node x = root;
    Node y = null; // saves Node.Parent
    while (x != null) {
        y = x;
        if (insert.key < x.key) {
            x = x.left;
        } else {
            x = x.right;
        }
    }

    insert.parent = y;
    if (y == null) {
        return insert;
    } else if (insert.key < y.key) {
        y.left = insert;
    } else {
        y.right = insert;
    }

    return root;
}",implementation
19_20-4-2-java,Search trees: Removal (Java),"These tasks will again be about search trees. Reminder:
Our search trees are built from ""nodes"", analogous to the lecture.
A node looks like this:

public class Node {
    public int key;
    public Node left;
    public Node right;
    public Node parent;
}

For this task, implement a method ""delete"" which deletes a
""Node"" in the search tree and returns the new search tree. Use the
the method from the lecture slides, i.e. the one with ""TREE-MINIMUM"".
The nodes can be reused as desired. The function gets the root
of the search tree and the node to be deleted.","// Node in parameter represents root of tree
public Node delete(Node root, Node delete) {
    Node y = null; //y: node to delete (after swap)
    if (delete.left == null || delete.right == null) {
        y = delete;
    } else {
        y = treeMinimum(delete.right);
    }
    Node x = null; // non-null child of y
    if (y.left != null) {
        x = y.left;
    } else {
        x = y.right;
    }
    // now delete y
    if (x != null) {
        x.parent = y.parent;
    }
    if (y.parent == null) {
        root = x;
    } else {
        if (y == y.parent.left) {
            y.parent.left = x;
        } else {
            y.parent.right = x;
        }
    }
    // Copy data
    if (y != delete) {
        delete.key = y.key;
    }
    // y should have no reference and should be deleted by the java gc
    return root;
}
// Helper function
public Node treeMinimum(Node n) {
    while (n.left != null) {
        n = n.left;
    }
    return n;
}",implementation
19_20-4-1-python,Search trees: Insertion (Python),"These tasks will be about search trees. Our search trees are built from
""nodes"", analogous to the lecture. A node looks like this:

class Node:
 * key
 * left
 * right
 * parent

In the lecture you have already seen an algorithm for searching in a search tree.

You are to implement different methods for the search trees.
For this task, implement a method ""insert"" that inserts a
""Node"" into the search tree and returns the new search tree.
The nodes can be reused as desired. The function
is passed the root of the search tree and the new node.","# Node in parameter represents root of tree
def insert(root: Node, insert: Node):
    x = root
    y = None  # saves Node.parent
    while x is not None:
        y = x
        if insert.key < x.key:
            x = x.left
        else:
            x = x.right;

    insert.parent = y
    if y is None:
        return insert
    elif insert.key < y.key:
        y.left = insert
    else:
        y.right = insert;

    return root",implementation
19_20-4-2-python,Search trees: Removal (Python),"These tasks will again be about search trees. Reminder:
Our search trees are built from ""nodes"", analogous to the lecture.
A node looks like this:

class Node:
 * key
 * left
 * right
 * Parent

For this task, implement a method ""delete"" which deletes a
""Node"" in the search tree and returns the new search tree. Use the
the method from the lecture slides, i.e. the one with ""TREE-MINIMUM"".
The nodes can be reused as desired. The function gets the root
of the search tree and the node to be deleted.","# Helper function
def tree_minimum(n):
    while n.left is not None:
        n = n.left
    return n
# Node in parameter represents root of tree
def delete(root: Node, delete: Node):
    y = None  # y: node to delete (after swap)
    if delete.left is None or delete.right is None:
        y = delete
    else:
        y = tree_minimum(delete.right)
    x = None  # non-null child of y
    if y.left is not None:
        x = y.left
    else:
        x = y.right
    # now delete y
    if x is not None:
        x.parent = y.parent
    if y.parent is None:
        root = x
    else:
        if y is y.parent.left:
            y.parent.left = x
        else:
            y.parent.right = x
    # Copy data
    if y is not delete:
        delete.key = y.key
    # y should have no reference and should be deleted by the python gc
    return root",implementation
19_20-5-1-java,Graphs: BFS (Java),"This task is about the implementation of graphs and very
simple graph algorithms. In Java we implement graphs with the
the help of arrays. We look at graphs with unweighted edges.
To represent a graph in Java, we give all nodes a number (starting with 0),
which corresponds to the index of the adjacency list in the list. Example:

int[][] graph = {
    {1, 2},
    {0},
    {1}
};

Each of these edges can now be considered as directed, going out
from the node with the index number to the node with the corresponding
number (see image for a graphical visualization).

Now we want to implement some simple algorithms for the graphs,
starting with breadth-first search. How this
algorithm works can be found in the lecture, see also Cormen et
al, chap. 22. The inputs are assumed to be unweighted, directed graphs,
so it is not always the case that for each edge there is also a back edge
running in the opposite direction.

The outputs shall contain the nodes of the graph in the order
as they are processed by the corresponding search.
The nodes are to be traversed in the order in which they are arranged in the adjacency list.

You can use a java.util.ArrayList or a java.util.Stack
if this makes sense to you.","public List<Integer> bfs(int[][] graph, int start) {
    List<Integer> visited = new ArrayList<Integer>();
    List<Integer> queue = new ArrayList<Integer>();
    queue.add(start);

    while(!queue.isEmpty()){
        int next = queue.remove(0);
        if(!visited.contains(next)) {
            visited.add(next);
            for(int vertex: graph[next]) {
                if(!visited.contains(vertex)) {
                    queue.add(vertex);
                }
            }
        }
    }
    return visited;
}",implementation
19_20-5-2-java,Graphs: DFS (Java),"As a second algorithm - analogous to the first task - a depth
depth-first search is to be implemented.

Here, too, the nodes are to be visited in the order in which they appear in the adjacency list.

You can use a java.util.ArrayList or a java.util.Stack
if this makes sense to you.","public List<Integer> dfs(int[][] graph, int start) {
    List<Integer> visited = new ArrayList<Integer>();
    Stack<Integer> stack = new Stack<Integer>();
    stack.push(start);

    while(!stack.isEmpty()){
        int next = stack.pop();
        if(!visited.contains(next)) {
            visited.add(next);
            for(int i = graph[next].length-1; i >= 0; --i) { // Need to traverse list in reverse order to visit vertex in correct order
                if(!visited.contains(graph[next][i])) {
                    stack.push(graph[next][i]);
                }
            }
        }
    }
    return visited;
}",implementation
19_20-5-1-python,Graphs: BFS (Python),"This task is about the implementation of graphs and very
simple graph algorithms. In Java we implement graphs with the
the help of arrays. We look at graphs with unweighted edges.
To represent a graph in Java, we give all nodes a number (starting with 0),
which corresponds to the index of the adjacency list in the list. Example:

graph = [
    [1, 2],
    [0],
    [1]
]

Each of these edges can now be considered as directed, going out
from the node with the index number to the node with the corresponding
number (see image for a graphical visualization).

Now we want to implement some simple algorithms for the graphs,
starting with breadth-first search. How this
algorithm works can be found in the lecture, see also Cormen et
al, chap. 22. The inputs are assumed to be unweighted, directed graphs,
so it is not always the case that for each edge there is also a back edge
running in the opposite direction.

The outputs shall contain the nodes of the graph in the order
as they are processed by the corresponding search.
The nodes are to be traversed in the order in which they are arranged in the adjacency list.","def bfs(graph, start):
    visited, queue = list(), [start]
    while queue:
        next = queue.pop(0)
        if next not in visited:
            visited.append(next)
            for vertex in graph[next]:
                if vertex not in visited:
                    queue.append(vertex)
    return visited",implementation
19_20-5-2-python,Graphs: DFS (Python),"As a second algorithm - analogous to the first task - a depth
depth-first search is to be implemented.

Here, too, the nodes are to be visited in the order in which they appear in the adjacency list.","def dfs(graph, start):
    visited, queue = list(), [start]
    while queue:
        next = queue.pop()
        if next not in visited:
            visited.append(next)
            for vertex in reversed(graph[next]): # Need to reverse list in order to visit vertex in correct order
                if vertex not in visited:
                    queue.append(vertex)
    return visited",implementation
19_20-6-1-java,Dynamic Programming: Edit Distance (Java),"In this task the edit distance of two given strings is implemented.
This is defined as the minimum number of insert, delete and replace operations
of single characters to convert the one string into the other.
Important: The implementation must NOT use recursive calls.","/*
 * This function calculates and returns the edit distance
 * beween tow given strings. this strings are given by the
 * parameters a and b. In the implementation the recursive
 * definition is implemented iterativly
 */

public int editDistance(String a, String b) {
    int m = a.length();
    int n = b.length();
    int[][] edDis = new int[m+1][];
    for(int i = 0; i <= m; ++i) {
        edDis[i] = new int[n+1];
        edDis[i][0] = i;
    }
    for(int i = 0; i <= n; ++i) {
        edDis[0][i] = i;
    }

    for(int i = 1; i <= m; ++i) {
        for(int j = 1; j <= n; ++j) {
            if(a.charAt(i-1) == b.charAt(j-1)) {
                edDis[i][j] = edDis[i-1][j-1];
            } else {
                edDis[i][j] = 1 + Math.min(Math.min(edDis[i][j-1], edDis[i-1][j]), edDis[i-1][j-1]);
            }
        }
    }
    return edDis[a.length()][b.length()];
}",implementation
19_20-6-2-java,Dynamic Programming: Knapsack (Java),"The Knapsack problem is an optimization problem. Which items
from an existing selection should be packed into a limited
backpack(Knapsack) in order to maximize the value to be transported?
This problem is in generall NP-complete and therefore
probably not efficiently solvable. Assuming that the
volumes of the objects are integers, we can find an algorithm
that solves this problem using dynamic programming. We are looking for
the implementation of an algorithm, which for a given list of objects and a
list of items and a maximum backpack volume outputs the value
that can be transported at most. The list of items
consists of two lists, one contains the volumes and one the values.
values. So the input ([0.5, 0.3], [2, 5], 3 ) gives two items,
the first with volume 2 and value 0.5, the second with volume 5 and value 0.3.
The last value indicates the volume of the Knapsack, in this case
the correct output of the algorithm would be 0.5 because only
the 1st item fits into the backpack at all. With a larger volume
of 7, the correct output would be 0.8. It is important to note that the solution
is NOT 1.5, so it is not possible to use the same object more than once.","/* This function calculates and returns the max
 * value in knapsack with the capacity ""capacity"" wich is filled
 * with stuff of volume ""volumes"" and the value ""values"".
 */
public double knapSack(double[] values, int[] volumes, int capacity) {
    assert values.length == volumes.length;

    int n = values.length;
    double[][] Result = new double[n+1][];

    for(int i = 0; i < n+1; ++i) {
        Result[i] = new double[capacity+1];
    }

    for(int i = n-1; i > -1; --i) {
        for(int j = 0; j < capacity+1; ++j) {
            if (volumes[i] <= j) {
                Result[i][j] = Math.max(values[i] + Result[i+1][j-volumes[i]], Result[i+1][j]);
            } else {
                Result[i][j] = Result[i+1][j];
            }
        }
    }
    return Result[0][capacity];
}",implementation
